USERID,"ID: Newspaper reading, total time on average weekday","Newspaper reading, total time on average weekday",ID: Personal use of internet/e-mail/www,Personal use of internet/e-mail/www,"ID: How often socially meet with friends, relatives or colleagues","How often socially meet with friends, relatives or colleagues",ID: Gender,Gender,"Age of respondent, calculated",ID: Highest level of education,Highest level of education,ID: Employment relation,Employment relation,ID: Occupation,Occupation,ID: Important to try new and different things in life,Important to try new and different things in life,ID: Important to do what is told and follow rules,Important to do what is told and follow rules,ID: Important to understand different people,Important to understand different people,ID:Important to make own decisions and be free,Important to make own decisions and be free,ID: Important to be successful and that people recognize achievements,Important to be successful and that people recognize achievements,ID: Important to seek adventures and have an exciting life,Important to seek adventures and have an exciting life,ID: Important to behave properly,Important to behave properly,ID: Important to get respect from others,Important to get respect from others,ID: Important to care for nature and environment,Important to care for nature and environment,ID: Important to follow traditions and customs,Important to follow traditions and customs,ID: Hard to be hopeful about the future of the world,Hard to be hopeful about the future of the world,ID: Feel close to the people in local area,Feel close to the people in local area
6-474,,,,,3,Once a month,1,Male,24,3,Upper secondary education completed (ISCED 3),6,Not applicable,,,3,Somewhat like me,1,Very much like me,3,Somewhat like me,4,A little like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,4,A little like me,2,Like me,3,Somewhat like me,2,Agree,3,Neither agree nor disagree
6-475,,,,,5,Once a week,1,Male,69,3,Upper secondary education completed (ISCED 3),1,Employee,,,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,5,Not like me,1,Very much like me,2,Like me,1,Very much like me,2,Like me,2,Agree,3,Neither agree nor disagree
6-476,,,,,7,Every day,1,Male,60,3,Upper secondary education completed (ISCED 3),1,Employee,,,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,5,Not like me,1,Very much like me,2,Like me,1,Very much like me,2,Like me,2,Agree,3,Neither agree nor disagree
6-477,,,,,1,Never,2,Female,71,2,Lower secondary education completed (ISCED 2),1,Employee,,,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,2,Like me,4,A little like me,5,Not like me,2,Like me,6,Not like me at all,2,Like me,3,Somewhat like me,1,Agree strongly,4,Disagree
6-478,,,,,6,Several times a week,1,Male,37,3,Upper secondary education completed (ISCED 3),1,Employee,,,2,Like me,3,Somewhat like me,2,Like me,1,Very much like me,1,Very much like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,2,Like me,4,A little like me,3,Neither agree nor disagree,3,Neither agree nor disagree
6-479,,,,,2,Less than once a month,1,Male,61,3,Upper secondary education completed (ISCED 3),3,Working for own family business,,,5,Not like me,5,Not like me,5,Not like me,2,Like me,3,Somewhat like me,5,Not like me,2,Like me,3,Somewhat like me,3,Somewhat like me,2,Like me,1,Agree strongly,3,Neither agree nor disagree
6-480,,,,,7,Every day,1,Male,44,3,Upper secondary education completed (ISCED 3),1,Employee,,,1,Very much like me,2,Like me,3,Somewhat like me,1,Very much like me,1,Very much like me,3,Somewhat like me,5,Not like me,1,Very much like me,1,Very much like me,4,A little like me,4,Disagree,4,Disagree
6-481,,,,,6,Several times a week,2,Female,60,2,Lower secondary education completed (ISCED 2),1,Employee,,,2,Like me,2,Like me,1,Very much like me,2,Like me,5,Not like me,5,Not like me,2,Like me,2,Like me,2,Like me,2,Like me,1,Agree strongly,2,Agree
6-482,,,,,5,Once a week,2,Female,59,2,Lower secondary education completed (ISCED 2),1,Employee,,,2,Like me,1,Very much like me,2,Like me,2,Like me,2,Like me,5,Not like me,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,1,Agree strongly,3,Neither agree nor disagree
6-483,,,,,5,Once a week,1,Male,63,3,Upper secondary education completed (ISCED 3),1,Employee,,,2,Like me,2,Like me,2,Like me,5,Not like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,1,Agree strongly,4,Disagree
6-484,,,,,6,Several times a week,2,Female,21,3,Upper secondary education completed (ISCED 3),6,Not applicable,,,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,1,Very much like me,5,Not like me,2,Like me,3,Somewhat like me,1,Very much like me,1,Very much like me,1,Agree strongly,4,Disagree
6-485,,,,,4,Several times a month,1,Male,71,2,Lower secondary education completed (ISCED 2),1,Employee,,,5,Not like me,1,Very much like me,1,Very much like me,2,Like me,3,Somewhat like me,5,Not like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Agree,3,Neither agree nor disagree
6-486,,,,,7,Every day,2,Female,17,2,Lower secondary education completed (ISCED 2),6,Not applicable,,,1,Very much like me,4,A little like me,3,Somewhat like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Like me,2,Like me,3,Somewhat like me,6,Not like me at all,3,Neither agree nor disagree,4,Disagree
6-487,,,,,7,Every day,1,Male,16,2,Lower secondary education completed (ISCED 2),6,Not applicable,,,2,Like me,3,Somewhat like me,1,Very much like me,3,Somewhat like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Agree,3,Neither agree nor disagree
6-488,,,,,6,Several times a week,2,Female,19,3,Upper secondary education completed (ISCED 3),6,Not applicable,,,2,Like me,5,Not like me,2,Like me,1,Very much like me,1,Very much like me,2,Like me,3,Somewhat like me,3,Somewhat like me,2,Like me,4,A little like me,1,Agree strongly,2,Agree
6-489,,,,,5,Once a week,1,Male,49,3,Upper secondary education completed (ISCED 3),2,Self-employed,,,5,Not like me,2,Like me,2,Like me,1,Very much like me,2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,4,A little like me,2,Agree,3,Neither agree nor disagree
6-490,,,,,6,Several times a week,2,Female,32,5,Tertiary education completed (ISCED 5-6),1,Employee,,,1,Very much like me,5,Not like me,3,Somewhat like me,2,Like me,4,A little like me,3,Somewhat like me,2,Like me,2,Like me,1,Very much like me,4,A little like me,4,Disagree,3,Neither agree nor disagree
6-491,,,,,5,Once a week,2,Female,36,5,Tertiary education completed (ISCED 5-6),1,Employee,,,2,Like me,2,Like me,5,Not like me,2,Like me,2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,4,A little like me,2,Agree,2,Agree
6-492,,,,,6,Several times a week,1,Male,46,3,Upper secondary education completed (ISCED 3),1,Employee,,,2,Like me,8,Don't know,2,Like me,2,Like me,2,Like me,1,Very much like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Agree,3,Neither agree nor disagree
6-493,,,,,7,Every day,1,Male,54,3,Upper secondary education completed (ISCED 3),1,Employee,,,4,A little like me,5,Not like me,1,Very much like me,2,Like me,3,Somewhat like me,5,Not like me,2,Like me,2,Like me,4,A little like me,2,Like me,2,Agree,5,Disagree strongly
6-494,,,,,4,Several times a month,1,Male,53,3,Upper secondary education completed (ISCED 3),1,Employee,,,1,Very much like me,3,Somewhat like me,3,Somewhat like me,1,Very much like me,1,Very much like me,5,Not like me,1,Very much like me,1,Very much like me,2,Like me,2,Like me,1,Agree strongly,1,Agree strongly
6-495,,,,,4,Several times a month,1,Male,35,3,Upper secondary education completed (ISCED 3),1,Employee,,,4,A little like me,3,Somewhat like me,1,Very much like me,2,Like me,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,1,Very much like me,1,Very much like me,2,Agree,3,Neither agree nor disagree
6-496,,,,,7,Every day,2,Female,57,2,Lower secondary education completed (ISCED 2),6,Not applicable,,,4,A little like me,4,A little like me,2,Like me,4,A little like me,3,Somewhat like me,5,Not like me,1,Very much like me,2,Like me,2,Like me,4,A little like me,2,Agree,4,Disagree
6-497,,,,,2,Less than once a month,1,Male,80,3,Upper secondary education completed (ISCED 3),2,Self-employed,,,2,Like me,3,Somewhat like me,2,Like me,1,Very much like me,1,Very much like me,5,Not like me,1,Very much like me,1,Very much like me,1,Very much like me,5,Not like me,2,Agree,3,Neither agree nor disagree
6-498,,,,,2,Less than once a month,2,Female,76,2,Lower secondary education completed (ISCED 2),1,Employee,,,2,Like me,5,Not like me,3,Somewhat like me,2,Like me,3,Somewhat like me,5,Not like me,1,Very much like me,1,Very much like me,1,Very much like me,4,A little like me,2,Agree,3,Neither agree nor disagree
6-499,,,,,6,Several times a week,1,Male,50,3,Upper secondary education completed (ISCED 3),1,Employee,,,2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,1,Agree strongly,3,Neither agree nor disagree
6-500,,,,,4,Several times a month,1,Male,30,5,Tertiary education completed (ISCED 5-6),1,Employee,,,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,3,Somewhat like me,1,Very much like me,1,Very much like me,2,Like me,5,Not like me,1,Agree strongly,4,Disagree
6-501,,,,,6,Several times a week,1,Male,42,3,Upper secondary education completed (ISCED 3),2,Self-employed,,,1,Very much like me,3,Somewhat like me,3,Somewhat like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Like me,1,Very much like me,2,Like me,2,Agree,2,Agree
6-502,,,,,3,Once a month,2,Female,21,3,Upper secondary education completed (ISCED 3),1,Employee,,,1,Very much like me,5,Not like me,2,Like me,2,Like me,1,Very much like me,5,Not like me,1,Very much like me,1,Very much like me,1,Very much like me,3,Somewhat like me,2,Agree,1,Agree strongly
6-503,,,,,7,Every day,1,Male,58,1,Less than lower secondary education (ISCED 0-1),6,Not applicable,,,1,Very much like me,3,Somewhat like me,4,A little like me,1,Very much like me,1,Very much like me,4,A little like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Agree,1,Agree strongly
6-504,,,,,6,Several times a week,2,Female,64,2,Lower secondary education completed (ISCED 2),1,Employee,,,1,Very much like me,1,Very much like me,2,Like me,2,Like me,1,Very much like me,6,Not like me at all,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Agree strongly,1,Agree strongly
6-505,,,,,5,Once a week,1,Male,66,2,Lower secondary education completed (ISCED 2),2,Self-employed,,,2,Like me,5,Not like me,3,Somewhat like me,1,Very much like me,2,Like me,5,Not like me,1,Very much like me,3,Somewhat like me,1,Very much like me,2,Like me,1,Agree strongly,4,Disagree
6-506,,,,,7,Every day,2,Female,31,5,Tertiary education completed (ISCED 5-6),1,Employee,,,2,Like me,2,Like me,1,Very much like me,2,Like me,2,Like me,3,Somewhat like me,3,Somewhat like me,2,Like me,1,Very much like me,3,Somewhat like me,1,Agree strongly,4,Disagree
6-507,,,,,6,Several times a week,1,Male,67,3,Upper secondary education completed (ISCED 3),2,Self-employed,,,1,Very much like me,2,Like me,2,Like me,1,Very much like me,1,Very much like me,6,Not like me at all,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Agree strongly,2,Agree
6-508,,,,,6,Several times a week,2,Female,72,1,Less than lower secondary education (ISCED 0-1),6,Not applicable,,,3,Somewhat like me,6,Not like me at all,1,Very much like me,2,Like me,3,Somewhat like me,6,Not like me at all,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Agree,1,Agree strongly
6-509,,,,,6,Several times a week,1,Male,35,3,Upper secondary education completed (ISCED 3),1,Employee,,,2,Like me,2,Like me,2,Like me,1,Very much like me,2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,1,Agree strongly,3,Neither agree nor disagree
6-510,,,,,4,Several times a month,1,Male,55,3,Upper secondary education completed (ISCED 3),1,Employee,,,4,A little like me,3,Somewhat like me,4,A little like me,2,Like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,3,Neither agree nor disagree,2,Agree
6-511,,,,,6,Several times a week,2,Female,28,3,Upper secondary education completed (ISCED 3),1,Employee,,,1,Very much like me,2,Like me,1,Very much like me,2,Like me,3,Somewhat like me,2,Like me,6,Not like me at all,1,Very much like me,1,Very much like me,5,Not like me,2,Agree,2,Agree
6-512,,,,,3,Once a month,2,Female,52,3,Upper secondary education completed (ISCED 3),1,Employee,,,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Agree,2,Agree
6-513,,,,,6,Several times a week,2,Female,43,3,Upper secondary education completed (ISCED 3),1,Employee,,,1,Very much like me,2,Like me,2,Like me,2,Like me,4,A little like me,2,Like me,2,Like me,4,A little like me,2,Like me,2,Like me,2,Agree,4,Disagree
6-514,,,,,7,Every day,1,Male,26,3,Upper secondary education completed (ISCED 3),1,Employee,,,2,Like me,2,Like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Agree,2,Agree
6-515,,,,,4,Several times a month,1,Male,51,3,Upper secondary education completed (ISCED 3),1,Employee,,,2,Like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Agree,2,Agree
6-516,,,,,5,Once a week,1,Male,26,3,Upper secondary education completed (ISCED 3),1,Employee,,,3,Somewhat like me,5,Not like me,2,Like me,4,A little like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,2,Like me,1,Very much like me,3,Neither agree nor disagree,3,Neither agree nor disagree
6-517,,,,,6,Several times a week,2,Female,22,5,Tertiary education completed (ISCED 5-6),1,Employee,,,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Like me,1,Very much like me,4,A little like me,2,Like me,2,Like me,2,Agree,1,Agree strongly
6-518,,,,,5,Once a week,2,Female,19,3,Upper secondary education completed (ISCED 3),1,Employee,,,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,2,Like me,3,Somewhat like me,4,Disagree,2,Agree
6-519,,,,,5,Once a week,1,Male,59,2,Lower secondary education completed (ISCED 2),1,Employee,,,2,Like me,2,Like me,2,Like me,4,A little like me,2,Like me,5,Not like me,4,A little like me,3,Somewhat like me,2,Like me,2,Like me,2,Agree,2,Agree
6-520,,,,,6,Several times a week,2,Female,19,3,Upper secondary education completed (ISCED 3),6,Not applicable,,,1,Very much like me,4,A little like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,3,Somewhat like me,2,Agree,2,Agree
6-521,,,,,5,Once a week,2,Female,56,3,Upper secondary education completed (ISCED 3),2,Self-employed,,,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,1,Very much like me,2,Like me,2,Like me,2,Like me,2,Agree,2,Agree
6-522,,,,,4,Several times a month,2,Female,55,3,Upper secondary education completed (ISCED 3),1,Employee,,,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,2,Agree,4,Disagree
6-523,,,,,3,Once a month,1,Male,61,1,Less than lower secondary education (ISCED 0-1),1,Employee,,,5,Not like me,5,Not like me,2,Like me,3,Somewhat like me,5,Not like me,5,Not like me,3,Somewhat like me,2,Like me,2,Like me,3,Somewhat like me,2,Agree,2,Agree
6-524,,,,,3,Once a month,1,Male,39,5,Tertiary education completed (ISCED 5-6),1,Employee,,,2,Like me,2,Like me,1,Very much like me,1,Very much like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,4,Disagree,3,Neither agree nor disagree
6-525,,,,,5,Once a week,2,Female,39,3,Upper secondary education completed (ISCED 3),3,Working for own family business,,,1,Very much like me,4,A little like me,2,Like me,2,Like me,2,Like me,2,Like me,4,A little like me,2,Like me,1,Very much like me,5,Not like me,2,Agree,2,Agree
6-526,,,,,4,Several times a month,1,Male,52,3,Upper secondary education completed (ISCED 3),1,Employee,,,5,Not like me,2,Like me,5,Not like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,1,Very much like me,2,Like me,4,Disagree,2,Agree
6-527,,,,,6,Several times a week,2,Female,30,5,Tertiary education completed (ISCED 5-6),1,Employee,,,2,Like me,2,Like me,2,Like me,1,Very much like me,1,Very much like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Agree,2,Agree
6-528,,,,,4,Several times a month,2,Female,40,5,Tertiary education completed (ISCED 5-6),1,Employee,,,4,A little like me,2,Like me,2,Like me,2,Like me,2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Agree,2,Agree
6-529,,,,,7,Every day,1,Male,34,5,Tertiary education completed (ISCED 5-6),1,Employee,,,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Agree,2,Agree
6-530,,,,,6,Several times a week,1,Male,49,5,Tertiary education completed (ISCED 5-6),2,Self-employed,,,2,Like me,2,Like me,1,Very much like me,1,Very much like me,2,Like me,4,A little like me,2,Like me,2,Like me,1,Very much like me,2,Like me,2,Agree,2,Agree
6-531,,,,,4,Several times a month,1,Male,42,3,Upper secondary education completed (ISCED 3),1,Employee,,,5,Not like me,5,Not like me,3,Somewhat like me,2,Like me,3,Somewhat like me,5,Not like me,2,Like me,3,Somewhat like me,1,Very much like me,2,Like me,2,Agree,2,Agree
6-532,,,,,3,Once a month,2,Female,72,2,Lower secondary education completed (ISCED 2),6,Not applicable,,,5,Not like me,2,Like me,8,Don't know,3,Somewhat like me,5,Not like me,6,Not like me at all,2,Like me,8,Don't know,1,Very much like me,2,Like me,3,Neither agree nor disagree,2,Agree
6-533,,,,,5,Once a week,2,Female,20,3,Upper secondary education completed (ISCED 3),6,Not applicable,,,2,Like me,2,Like me,2,Like me,1,Very much like me,2,Like me,3,Somewhat like me,1,Very much like me,3,Somewhat like me,1,Very much like me,2,Like me,2,Agree,1,Agree strongly
6-534,,,,,7,Every day,1,Male,16,2,Lower secondary education completed (ISCED 2),6,Not applicable,,,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,3,Somewhat like me,4,Disagree,2,Agree
6-535,,,,,6,Several times a week,2,Female,19,3,Upper secondary education completed (ISCED 3),1,Employee,,,1,Very much like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,4,A little like me,2,Like me,3,Somewhat like me,3,Somewhat like me,4,A little like me,3,Neither agree nor disagree,2,Agree
6-536,,,,,6,Several times a week,1,Male,30,3,Upper secondary education completed (ISCED 3),1,Employee,,,4,A little like me,2,Like me,2,Like me,1,Very much like me,2,Like me,6,Not like me at all,2,Like me,2,Like me,1,Very much like me,2,Like me,2,Agree,2,Agree
6-537,,,,,6,Several times a week,2,Female,70,2,Lower secondary education completed (ISCED 2),8,Don't know,,,4,A little like me,8,Don't know,2,Like me,1,Very much like me,4,A little like me,5,Not like me,2,Like me,4,A little like me,1,Very much like me,1,Very much like me,1,Agree strongly,1,Agree strongly
6-538,,,,,5,Once a week,1,Male,15,2,Lower secondary education completed (ISCED 2),6,Not applicable,,,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,2,Like me,3,Somewhat like me,2,Like me,3,Somewhat like me,2,Like me,3,Somewhat like me,2,Agree,2,Agree
6-539,,,,,6,Several times a week,2,Female,35,5,Tertiary education completed (ISCED 5-6),1,Employee,,,1,Very much like me,2,Like me,2,Like me,2,Like me,1,Very much like me,2,Like me,3,Somewhat like me,2,Like me,1,Very much like me,3,Somewhat like me,4,Disagree,2,Agree
6-540,,,,,6,Several times a week,1,Male,49,5,Tertiary education completed (ISCED 5-6),1,Employee,,,3,Somewhat like me,2,Like me,1,Very much like me,2,Like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,3,Neither agree nor disagree,2,Agree
6-541,,,,,6,Several times a week,1,Male,40,5,Tertiary education completed (ISCED 5-6),1,Employee,,,3,Somewhat like me,5,Not like me,2,Like me,2,Like me,4,A little like me,3,Somewhat like me,2,Like me,3,Somewhat like me,1,Very much like me,4,A little like me,3,Neither agree nor disagree,2,Agree
6-542,,,,,4,Several times a month,2,Female,63,3,Upper secondary education completed (ISCED 3),1,Employee,,,2,Like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,4,A little like me,2,Like me,1,Very much like me,1,Very much like me,2,Like me,2,Agree,1,Agree strongly
6-543,,,,,5,Once a week,2,Female,82,2,Lower secondary education completed (ISCED 2),6,Not applicable,,,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,2,Like me,3,Somewhat like me,5,Not like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,5,Disagree strongly,3,Neither agree nor disagree
6-544,,,,,7,Every day,2,Female,84,2,Lower secondary education completed (ISCED 2),6,Not applicable,,,5,Not like me,1,Very much like me,3,Somewhat like me,3,Somewhat like me,5,Not like me,5,Not like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,5,Disagree strongly,2,Agree
6-545,,,,,5,Once a week,1,Male,59,2,Lower secondary education completed (ISCED 2),1,Employee,,,3,Somewhat like me,2,Like me,2,Like me,1,Very much like me,3,Somewhat like me,4,A little like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Like me,3,Neither agree nor disagree,2,Agree
6-546,,,,,7,Every day,2,Female,24,5,Tertiary education completed (ISCED 5-6),6,Not applicable,,,2,Like me,5,Not like me,1,Very much like me,1,Very much like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Agree,4,Disagree
6-547,,,,,5,Once a week,2,Female,26,5,Tertiary education completed (ISCED 5-6),1,Employee,,,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,4,A little like me,1,Very much like me,1,Very much like me,2,Like me,2,Like me,3,Neither agree nor disagree,2,Agree
6-548,,,,,4,Several times a month,2,Female,28,3,Upper secondary education completed (ISCED 3),1,Employee,,,9,No answer,4,A little like me,3,Somewhat like me,1,Very much like me,2,Like me,3,Somewhat like me,2,Like me,1,Very much like me,1,Very much like me,2,Like me,1,Agree strongly,1,Agree strongly
6-549,,,,,4,Several times a month,1,Male,40,2,Lower secondary education completed (ISCED 2),1,Employee,,,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,1,Agree strongly,2,Agree
6-550,,,,,4,Several times a month,1,Male,81,3,Upper secondary education completed (ISCED 3),2,Self-employed,,,4,A little like me,2,Like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,4,A little like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,3,Neither agree nor disagree,1,Agree strongly
6-551,,,,,7,Every day,1,Male,53,3,Upper secondary education completed (ISCED 3),1,Employee,,,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,2,Like me,3,Somewhat like me,4,A little like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Agree,1,Agree strongly
6-552,,,,,5,Once a week,1,Male,47,3,Upper secondary education completed (ISCED 3),1,Employee,,,2,Like me,4,A little like me,2,Like me,1,Very much like me,3,Somewhat like me,5,Not like me,2,Like me,2,Like me,2,Like me,2,Like me,3,Neither agree nor disagree,2,Agree
6-553,,,,,5,Once a week,1,Male,53,1,Less than lower secondary education (ISCED 0-1),1,Employee,,,4,A little like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Like me,1,Agree strongly,2,Agree
6-554,,,,,5,Once a week,1,Male,32,3,Upper secondary education completed (ISCED 3),1,Employee,,,1,Very much like me,2,Like me,2,Like me,2,Like me,1,Very much like me,1,Very much like me,2,Like me,2,Like me,1,Very much like me,3,Somewhat like me,1,Agree strongly,3,Neither agree nor disagree
6-555,,,,,6,Several times a week,2,Female,18,2,Lower secondary education completed (ISCED 2),6,Not applicable,,,3,Somewhat like me,3,Somewhat like me,2,Like me,1,Very much like me,2,Like me,5,Not like me,1,Very much like me,3,Somewhat like me,1,Very much like me,1,Very much like me,1,Agree strongly,2,Agree
6-556,,,,,6,Several times a week,2,Female,27,5,Tertiary education completed (ISCED 5-6),6,Not applicable,,,2,Like me,6,Not like me at all,2,Like me,1,Very much like me,1,Very much like me,2,Like me,2,Like me,2,Like me,1,Very much like me,3,Somewhat like me,1,Agree strongly,3,Neither agree nor disagree
6-557,,,,,1,Never,2,Female,34,3,Upper secondary education completed (ISCED 3),1,Employee,,,2,Like me,3,Somewhat like me,2,Like me,2,Like me,3,Somewhat like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,4,A little like me,1,Agree strongly,4,Disagree
6-558,,,,,6,Several times a week,2,Female,27,5,Tertiary education completed (ISCED 5-6),1,Employee,,,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,3,Somewhat like me,2,Like me,2,Like me,3,Somewhat like me,2,Agree,2,Agree
6-559,,,,,7,Every day,1,Male,19,3,Upper secondary education completed (ISCED 3),6,Not applicable,,,2,Like me,4,A little like me,3,Somewhat like me,2,Like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Agree,2,Agree
6-560,,,,,5,Once a week,2,Female,39,5,Tertiary education completed (ISCED 5-6),3,Working for own family business,,,1,Very much like me,3,Somewhat like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Like me,2,Like me,1,Very much like me,3,Somewhat like me,2,Agree,3,Neither agree nor disagree
6-561,,,,,6,Several times a week,1,Male,15,2,Lower secondary education completed (ISCED 2),6,Not applicable,,,2,Like me,3,Somewhat like me,2,Like me,1,Very much like me,2,Like me,1,Very much like me,3,Somewhat like me,3,Somewhat like me,2,Like me,3,Somewhat like me,1,Agree strongly,3,Neither agree nor disagree
6-562,,,,,3,Once a month,2,Female,56,2,Lower secondary education completed (ISCED 2),1,Employee,,,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,3,Somewhat like me,6,Not like me at all,2,Like me,3,Somewhat like me,1,Very much like me,1,Very much like me,1,Agree strongly,2,Agree
6-563,,,,,4,Several times a month,2,Female,54,3,Upper secondary education completed (ISCED 3),1,Employee,,,5,Not like me,3,Somewhat like me,2,Like me,2,Like me,4,A little like me,5,Not like me,1,Very much like me,6,Not like me at all,3,Somewhat like me,1,Very much like me,3,Neither agree nor disagree,3,Neither agree nor disagree
6-564,,,,,3,Once a month,1,Male,37,5,Tertiary education completed (ISCED 5-6),1,Employee,,,1,Very much like me,2,Like me,2,Like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,3,Somewhat like me,2,Agree,3,Neither agree nor disagree
6-565,,,,,2,Less than once a month,2,Female,59,2,Lower secondary education completed (ISCED 2),1,Employee,,,1,Very much like me,3,Somewhat like me,1,Very much like me,2,Like me,2,Like me,1,Very much like me,3,Somewhat like me,2,Like me,1,Very much like me,2,Like me,2,Agree,2,Agree
6-566,,,,,6,Several times a week,2,Female,46,3,Upper secondary education completed (ISCED 3),1,Employee,,,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,1,Very much like me,5,Not like me,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,2,Agree,2,Agree
6-567,,,,,7,Every day,1,Male,23,3,Upper secondary education completed (ISCED 3),1,Employee,,,2,Like me,2,Like me,1,Very much like me,1,Very much like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,1,Agree strongly,2,Agree
6-568,,,,,2,Less than once a month,2,Female,78,1,Less than lower secondary education (ISCED 0-1),1,Employee,,,5,Not like me,5,Not like me,2,Like me,1,Very much like me,5,Not like me,6,Not like me at all,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Agree,1,Agree strongly
6-569,,,,,6,Several times a week,1,Male,21,3,Upper secondary education completed (ISCED 3),1,Employee,,,3,Somewhat like me,2,Like me,1,Very much like me,2,Like me,3,Somewhat like me,3,Somewhat like me,1,Very much like me,2,Like me,3,Somewhat like me,5,Not like me,2,Agree,3,Neither agree nor disagree
